informal,formal
aaaaaah,ah
aaaaamiiiiin,amin
amin,amin
aaamin,amin
aaammmiinnnn,amin
aamiin,amin
aamiinnn,amin
aaminn,amin
abang,kakak
abang2,kakak
abangnya,kakak
abis,habis
acc,setuju
accent,aksen
acem,asem
acernya,acer
act,tindak
ad,ada
adakah,ada
adalah,ada
adanya,ada
add2,tambah
adeh,aduh
adek,adik
adia,dia
adic,adik
adik2,adik
adiknya,adik
adios,sampai jumpa
adu,aduh
aduuuh,aduh
ae,saja
aga,agak
again,lagi
agency,agensi
agent,agen
agk,agak
agreeeee,setuju
ahn,ah
ai,saya
aih,ah
aim,bidik
aimm,bidik
aimnya,bidik
aing,saya
aj,saja
aja,saja
ajah,saja
ajalah,saja
ajaran,ajar
ajarin,ajar
aje,saja
ajg,anjing
ajk,ajak
ajng,anjing
ajuin,mengajukan
ak,saya
akang,kakak
akhirnya,akhir
aku,saya
akuh,saya
alami,alam
alasan,alas
alasannya,alas
alesan,alas
alhamdulilah,alhamdulillah
aliran,alir
all,semua
alo,halo
always,selalu
ama,sama
aman2,aman
amarahnya,amarah
amat,sangat
amateur,amatir
amazing,luar biasa
ambassador,duta besar
amennn,amin
amerikanos,amerika
amiin,amin
amin,amin
among,antara
ampe,sampai
ampunn,ampun
anaknya,anak
ancur,hancur
ancurin,hancur
and,dan
andzing,anjing
anda,kamu
ander,bawah
androidnya,android
ane,saya
angels,malaikat
anglenya,sudut
angry,marah
anjay,anjing
anjeek,anjing
anjeng,anjing
anjenk,anjing
anjenk,anjing
anjer,anjing
anjerr,anjing
anjg,anjing
anjier,anjing
anjiiiiir,anjing
anjiir,anjing
anjiiir,anjing
anjinx,anjing
anjingggg,anjing
anjir,anjing
anjirlah,anjing
anjr,anjing
anjreeettt,anjing
another,lain
ansos,anti sosial
antum,kamu
anyak,banyak
anying,anjing
any,setiap
anyinh,anjing
ap,apa
apaaan,apa
apaan,apa
apakabar,apa kabar
apakah,apa
apakahhhh,apa
apal,hapal
apani,apa ini
apanich,apa ini
apanih,apa ini
apanya,apa
apasih,apa sih
apatuh,apa itu
apawn,apa
apeee,apa
aplod,unduh
apss,apa
ar,adalah
are,adalah
around,sekitar
art,seni
arts,seni
aryuhir,apa kamu disini
as,seperti
asek,asyik
asem,asam
asian,asia
asik,asyik
assalamu,assalamualaikum
asu,anjing
asupan,asup
asw,anjing
at,pada
ataupun,atau
ati,hati
ati2,hati
ato,atau
attack,serang
attacked,serang
atuut,takut
audio,suara
auto,oto
aw,aduh
awasin,awas
awesome,luar biasa
aya,ayah
ayahnya,ayah
ayaw,iya
ayok,ayo
baaaaaang,kakak
babang,kakak
babe,ayah
babu,pembantu
baby,bayi
bacanya,baca
back,belakang
backsound,suara belakang
bad,jelek
badzingaan,bajing
baeeee,saja
bag,tas
bagi2,bagi
bagian,bigi
bagng,kakak
bagoss,bagus
bagusnya,bagus
bagust,bagus
baguts,bagus
bahagia,bahagia
bahasannya,bahasa
baje,bajaj
bajian,bajing
bakalan,bakal
balance,imbang
bales,balas
bamg,bang
bamsat,bangsat
banana,pisang
bang,kakak
Bangcat,bangsat
banget,sangat
bangke,bangkai
bangkeke,bangkai
bango,bangau
bangs,kakak
bangsaaaaaaaaad,bangsat
bangsaat,bangsat
bangsad,bangsat
bangset,bangsat
bangssaaat,bangsat
bangsyat,bangsat
bangzad,bangsat
bangzat,bangsat
banh,kakak
banhcat,bangsat
banhsat,bangsat
banke,bangkai
banteng2,banteng
bantet,pendek
banyakan,banyak
bapacc,ayah
bapack,ayah
bapacnya,ayah
bapak,ayah
bapak2,ayah
bapaknya,ayah
bapanya,ayah
bapck,ayah
bapk,ayah
bapuk,ayah
barapa,berapa
bareng,bersama-sama
bartendernya,bartender
barusan,baru
bat,sangat
battle,tarung
batubata,batu bata
bawa2,bawa
bayangin,bayang
baywan,satu lawan satu
bb,berat badan
bbggzaaat,bangsat
bean,kacang
bear,beruang
beb,bayi
bed,kasur
bedanya,beda
bedanyaaa,beda
bedarahlah,darah
bee,lebah
begadang,bergadang
begee,bagus
begimana,bagaimana
begins,mulai
begitulah,begitu
bego,bodoh
behind,belakang
bejad,bejat
bekas,bekas
belajar2,belajar
belakangan,belakang
belom,belum
bencong,banci
bene,benar
bened,larang
benefit,untung
bener,benar
beneran,benar
bentarnya,bentar
benturkan,bentur
beraksi,aksi
beranak,anak
berasa,rasa
berbagi,bagi
berbahaya,bahaya
berbeda,beda
berbentuk,bentuk
berbisa,bisa
berbulu,bulu
bercanda,canda
bercermin,cermin
berencana,rencana
bergaul,gaul
bergejolak,gejolak
bergema,gema
bergerak,gerak
bergoyang,goyang
berhalangan,halang
berharap,harap
berikan,beri
berisiknya,berisik
beritahu,beri tahu
berkedok,kedok
berkelompok,kelompok
berkembang,kembang
berkerujak,merajuk
berkomedi,komedi
berkunjung,kunjung
berlangganan,langgan
berlebihan,lebih
bermanfaat,manfaat
bermasalah,masalah
berniat,niat
berpa,berapa
berpengalaman,alam
berpindah,pindah
bersahabat,teman
bersemoet,semut
bersilaturahmi,silahturahmi
bersyukur,syukur
bertahan,tahan
bertelor,telur
bertelur,telur
bertobat,tobat
berturut,turut
berubah,ubah
beruban,uban
berulah,ulah
berumur,umur
berusaha,usaha
besoknya,besok
best,terbaik
bestman,manusia terbaik
bet,sangat
bete,bosan
betelooor,telur
better,baik
betul,benar
bg,kakak
bgasi,bagasi
bgebahas,bahas
bget,sangat
bgke,bangkai
bgsd,bangsat
bgssstttt,bangsat
bgst,bangsat
bgt,sangat
bgzd,bangsat
bgzt,bangsat
bhank,bahak
bhs,bahasa
biarpun,biar
biasakan,biasa
biasalah,biasa
biasanya,biasa
bice,bisa
bidji,biji
bidjie,biji
biikin,buat
bijik,biji
bijiq,biji
bikin,buat
bilangnya,bilang
bilek,seperti
bilogi,biologi
bimbingannya,bimbing
bini,istri
binik,istri
bintannnng,binatang
bintitan,bintit
biset,heran
bismilah,bismillah
bistu,habis itu
bjir,anjing
bjirr,anjing
bkannya,bukan
bkep,film dewasa
bkn,bukan
bkp,film dewasa
black,hitam
blash,ledakan
blasst,ledakan
blast,ledakan
blek,bodoh
blekpink,blackpink
bles,ledakan
blm,belum
bln,bulan
bloc,bodoh
blok,bodoh
blom,belum
blon,belum
blood,darah
bludreg,beludak
blue,biru
bnag,benar
bner,benar
bnf,kakak
bng,kakak
bntar,bentar
bntl,bantal
bntr,benar
bnyk,banyak
bocah,anak
bochil,anak
bocik,anak
bocil,anak
bocil2,anak
bocilnya,anak
bodo,bodoh
bodoh,bodoh
bodoklah,bodoh
bodohlah,bodoh
bodolah,bodoh
bodoolah,bodoh
bogel,pendek
bohong,bohong
boi,anak
bok,film dewasa
bokeb,film dewasa
bokep,film dewasa
bokp,film dewasa
bola2,bola
bole,boleh
bomat,bodoh sangat
book,buku
bookmark,tanda buku
borak,boraks
bosen,bosan
bot,robot
botakin,botak
botdolaahhh,bodoh
botnya,robot
botol,botol
botw,robot
boxing,tinju
boy,anak
bqng,kakak
bqpaknya,ayah
br,baru
braker,rusak
brand,merek
brani,berani
brantem,antem
brapa,berapa
brarti,berarti
bread,roti
break,hancur
brengcek,berengsek
brengjek,berengsek
brengsek,berengsek
brh,kakak
brisik,berisik
bro,kakak
brp,berapa
brpa,berapa
brubah,berubah
bruh,kakak
bruuh,kakak
brwosing,selancar
bs,bisa
bsk,besok
bsng,kakak
btw,bicara
bu,ibu
buffer,sangga
buffering,sangga
bug,serangga
bugil,telanjang
bujangannya,bujang
bujet,heran
bukannya,bukan
buku2,buku
bulet,bulat
bull,banteng
bully,gertak
buly,gertak
buncit,gendut
bundir,bunuh diri
bung,kakak
buntet,pendek
burnt,bakar
buronan,buron
bursa,pasar
buset,heran
busuk,jelek
but,tetapi
buwung,burung
bvang,kakak
bwt,buat
by,oleh
bye,tinggal
cable,kabel
caboooool,cabul
call,panggil
calm,santai
camer,calon mertua
camkan,lihat
cant,tidak bisa
cape,capai
capeeeee,capai
capek,capai
captai,kapten
car,mobil
caranya,cara
cardio,kardio
carilah,cari
carry,angkat
cart,kart
case,kasus
cassava,singkong
catet,catat
caught,dapat
ceban,sepuluh ribu
cepu,khianat
ceriia,ceria
ceritanya,cerita
ceriya,ceria
cerminnya,cermin
cewe,perempuan
cewe2,perempuan
cewek,perempuan
cewenya,perempuan
ceweknya,perempuan
challangenya,tantang
challenge,tantang
chamber,ruang
champ,juara
champions,juara
chanelnya,saluran
channel,saluran
channelnya,saluran
char,karakter
chat,obrol
cheat,curang
cheating,curang
cheerleder,pemandu sorak
cherry,ceri
chicken,ayam
ciki,makanan ringan
circle,lingkaran
cirkel,lingkaran
cit,curang
city,kota
ciuman,cium
ciyusss,serius
cking,sangat
claim,klaim
clip,klip
clipeer,klip
clipper,klip
clod,awan
close,dekat
cloud,awan
club,klub
cmn,cuma
cobaan,coba
cobain,coba
cod,tunai
code,kode
cok,berengsek
colok,tusuk
collab,kolaborasi
cols,kolom
com,datang
come,datang
community,komunitas
contohin,contoh
contohnya,contoh
control,kontrol
controller,kontrol
cool,keren
co,berengsek
copid,corona
copyrighted,hak cipta
coral,koral
core,inti
coronaanjing,corona anjing
cosplay,kostum
cosplayer,kostum
cospley,kostum
costumize,kostum
country,negara
course,latih
cowo,laki-laki
cowok,laki-laki
cowoknya,laki-laki
cowonya,laki-laki
cr,hak cipta
crab,kepiting
crack,hancur
credit,kredit
creepy,seram
crew,kru
cringe,jijik
cross,silang
crosshair,silang
crossnya,silang
crypto,kripto
cs,counter-strike
csgo,counter-strike
ctrl,kontrol
cuan,uang
cucunya,cucu
cuh,berengsek
cujkkk,berengsek
cuk,berengsek
cukong2,cukong
cult,kultus
cuman,cuma
cupu2,cupu
cur,mobil
cut,potong
cute,imut
cutek,imut
cuy,teman
daah,sudah
dadah,dada
dah,sudah
dahlah,sudah lah
daijobu,tidak apa apa
dalemnya,dalam
damage,rusak
damn,sial
dapet,dapat
dapetinnya,dapat
darimana, dari mana
daritdi,dari tadi
dark,gelap
dateng,datang
day,hari
days,hari
debes,baik
dede,adik
dedek,adik
deeptalk,obrol dalam
defak,persetan
defeated,kalah
deja,telah rasa
dejapu,telah rasa
dejavu,telah rasa
dek,adik
deket,dekat
deketinnya,dekat
delai,tunda
delay,tunda
delaynya,tunda
demen,suka
deng,deh
denger,dengar
dengerin,dengar
dependable,andal
depinitip,pasti
deskripsinya,deskripsi
deuh,deh
device,perangkat
devour,lahap
dewifortuna,dewi beruntung
dh,sudah
diacungi,acungi
diadain,ada
diajak,ajak
diajarin,ajar
diancem,ancam
dianya,dia
diatas,atas
dibabat,babat
dibaca,baca
dibacain,baca
dibahas,bahas
dibakar,bakar
dibalik,balik
dibantai,bantai
dibawa,bawa
dibayar,bayar
dibelain,bela
dibiarin,biar
dibilang,bilang
diblok,blokir
dibuat,buat
dibully,tundung
dibuntutin,buntut
dibunuh,bunuh
dicabut,cabut
dicari,cari
dicariin,cari
dickon,diskon
didatengin,datang
didikan,ajar
difoto,foto
digaji,haji
digambar,gambar
diganti,ganti
digas,gas
digebukin,pukul
digendong,gendong
digituin,begitu
digratisin,gratis
dihajar,hajar
dihina,hina
dihirup,hirup
diinget,ingat
diinjek,injak
diintip,intip
dijadwal,jadwal
dijaga,jaga
dijamin,jamin
dijawab,jawab
dijebak,jebak
dijelasin,jelas
dijodohin,jodoh
dikacangin,diam
dikalahkan,kalah
dikasih,kasih
dikatain,kata
dikategorilan,kategori
dikelas,kelas
dikelilingi,keliling
dikira,kira
dikondisikan,kondisi
dilakukan,lakukan
dilanjut,lanjut
dilanjutin,lanjut
dilepas,lepas
diliat,lihat
diluar,luar
diludahin,ludah
dimakan,makan
dimaksud,maksud
dimanfaatin,manfaat
dimarahin,marah
dimengerti,mengerti
dimulai,mulai
dinerf,turun
dingomongin,kata
dini,kecil
dinoise,berisik
dinosaurush,dinosaurus
dipake,pake
dipanggil,panggil
dipantau,pantau
diperpanjang,panjang
dipertanyakan,tanya
dipotong,potong
dipukul,pukul
dipunggung,punggung
dirajam,rajam
director,direktur
dirimu,diri kamu
dirinya,diri dia
dirumah,rumah
diruqyah,ruqyah
disable,batas
disalahkan,salah
disamain,sama
disantet,sihir
disebar,sebar
disebut,sebut
disebutkan,sebut
disembelih,potong
diselimuti,selimut
diseluruh,seluruh
disenggol,senggol
disepak,tendang
disiarin,siar
disini,sini
disita,sita
disitu,sana
dislike,tidak suka
disogok,sogok
dispam,spam
distributor,distributor
disudahi,sudah
disuruh,perintah
ditampol,pukul
ditanya,tanya
ditembak,tembak
ditemenin,teman
ditolak,tolak
ditonton,tonton
ditrima,terima
ditutup,tutup
diundur,mundur
diupdate,baru
diya,dia
diye,dia
djidat,jidat
dlm,dalam
dlu,dulu
dm,pesan
dmg,rusak
dimana,mana
do,lakukan
doain,doa
doang,saja
doank,saja
doggy,anjing
dogy,anjing
doi,pacar
doin,lakukan
don,tidak
donate,donasi
dong,dong
donk,dong
donot,jangan
dont,jangan
donv,jangan
doong,dong
dosennya,dosen
dossier,berkas
doto,dota
double,dobel
douji,komik
dowload,unduh
down,jatuh
dpt,dapat
dr,dari
dragon,naga
dri,dari
drifting,drift
drop,jatuh
dsilike,tidak suka
dtg,datang
dtk,detik
duelist,duel
duh,aduh
duit,uang
duitnya,uang
duke,bangsawan
duluan,dulu
duluin,dulu
dummy,bodoh
duo,dua
dupann,dufan
duuuhhh,aduh
duuuhhhh,aduh
dw,dynasty warrior
dw9,dynasty warrior
dyam,diam
dyry,diri
eat,makan
ebuseng,heran
eco,lingkungan
edisien,edisi
edition,edisi
eg,eh
ekeke,[ketawa]
ekonominya,ekonomi
ekspansi,luas
elah,kecewa
elu,kamu
elunya,kaumu
emaknya,ibu
emang,benar
emangnya,benar
ember,bocor
embud,jembut
emg,benar
emng,beanr
emot,emotikon
emu,emulator
ena,enak
encu,berengsek
engga,tidak
enggak,tidak
enggres,inggris
enggris,inggris
englis,inggris
eniwey,bicara
enjoy,santai
enjoyer,santai
entar,sebentar
ente,kamu
enterraiment,hibur
entet,setubuh
ep1,episode 1
eps,episode
equipment,pakai
error,salah
erteo,ganggu
eser,acer
esident,resident
esjewe,sjw
esol,berengsek
esprot,olahraga elektronik
euy,heran
event,acara
everbody,orang
everyday,hari
everyone,orang
everything,semua
evil,jahat
evio,jahat
eyeeees,mata
eyes,mata
facebooknya,facebook
fact,fakta
faedahnya,manfaat
fair,adil
fak,sial
fakboi,berengsek
fake,palsu
fakta,fakta
family,keluarga
fanget,sangat
fans,pengikut
fansnya,pengikut
fantasy,fantasi
fanteng,ganteng
fat,gemuk
father,ayah
fb,facebook
fbnya,facebook
feed,makan
feeding,makan
feel,perasa
feelsbadman,kurang baik
fetish,fetish
fetishnya,fetish
ff,final fantasy
ff7,final fantasy 7
ff7r,final fantasy 7 remake
film2,film
final,akhir
finally,akhir
finalnya,akhir
finish,akhir
fire,api
firstmedia,first media
fix,baik
flash,kilat
flashh,kilat
flashnya,kilat
flast,kilat
flat,datar
flawless,sempurna
flert,goda
flex,pamer
flexinf,pamer
flexing,pamer
flexxinggg,pamer
flexxx,pamer
flight,terbang
flirting,goda
flying,terbang
fm,first media
foam,busa
follow,ikut
for,untuk
force,paksa
forgot,lupa
forgotten,lupa
fortun,beruntung
fortuna,beruntung
fortunjing,beruntung
fortunjingggg,beruntung
fox,rubah
fpanya,fps
fps,fps
frag,bunuh
free,gratis
frickin,berengsek
friend,teman
friends,teman
friendship,teman
friendzone,teman
fucekboi,berengsek
fucekkkboy,berengsek
fud,makan
fuk,sial
full,penuh
fullnya,penuh
fun,senang
funi,senang
funtastic,takjup
funtistic,takjup
fu,sial
g,tidak
ga,tidak
gaad,tidak ada
gaada,tidak ada
gabakal,tidak akan
gabeda,tidak beda
gabener,tidak benar
gaberes,tidak benar
gabisa,tidak bisa
gabungan,gabung
gabut,bosan
gacha,undi
gada,tidak ada
gadang,besar
gae,homo
gaees,teman
gaenak,tidak enak
gaes,teman
gagitu,tidak begitu
gaguna,tidak guna
gais,teman
gaje,tidak jelas
gak,tidak
galau,gelisah
gamau,tidak mau
gambar,gambar
game,main
gamenya,main
gamer,main
games,main
gaming,main
gampang,mudah
gampar,pukul
gamungkin,tidak mungkin
gan,teman
gantemg,ganteng
gantungan,ganteng
gaosah,tidak perlu
gapapa,tidak apa apa
gapunya,tidak punya
gara2,kerena
gasalah,tidak salah
gaseru,tidak seru
gaskan,gas
gasken,gas
gasskeun,gas
gatau,tidak tahu
gate,gerbang
gatel,gatal
gates,gerbang
gauli,gaul
gausah,tidak perlu
gay,homo
gblk,bodoh
gbsa,tidak bisa
gebetan,suka
gebetannya,suka
geblek,bodoh
gede,besar
gedek,besar
gegara,gara gara
geh,homo
gei,homo
gelaa,gila
gelasnya,gelas
gelep,gelap
gella,gila
gelud,berantem
gelut,berantem
gemanya,gema
gembira,senang
gemes,gemas
geming,main
gemink,main
gemuk,gemuk
gemukin,gemuk
gendong,angkat
gendut,gemuk
general,umum
genre,jenis
genrenya,jenis
gentak,pukul
geplak,pukul
geplak2,pukul
gerl,perempuan
ges,teman
geseng,gosong
get,dapat
gg,main baik
ggimana,bagaimana
gg2022,main baik 2022
ggbang,main baik kakak
ggnt,main baik coba baik
ggs,main baik
ggwp,main baik
ggwp2022,main baik 2022
giant,raksasa
gift,hadiah
giitu,begitu
gilaak,gila
gilaaak,gila
gilak,gila
gile,gila
gilee,gila
gileee,gila
gils,gila
gimana,bagaimana
gimana2,bagaimana
gimanaya,bagaimana
gimane,bagaimana
gimaneeeeh,bagaimana
gimna,bagaimana
gini,begini
giniana,begini
ginjalnya,ginjal
gip,hadiah
girl,perempuan
girlfriend,pacar
gitu,begitu
gituan,begitu
gituh,begitu
give,hadiah
giveaway,hadiah
gk,tidak
glitch,salah
glory,mulia
gmana,bagaimana
gmmn,bagaimana
gmn,bagaimana
gmna,bagaimana
gmnn,bagaimana
gn,begini
go,pergi
goblok,bodoh
god,tuhan
godam,sial
goes,pergi
going,pergi
goks,gila
goksss,gila
golden,emas
gombalin,rayu
good,baik
goodvibes,atmosfir baik
gopud,go food
got,dapat
govlok,bodoh
gp,tidak apa apa
gpp,tidak apa apa
grand,besar
great,baik
greget,nafsu
grinding
gt,begitu
gtu,begitu
gua,saya
gubluk,bodoh
gue,saya
gunta,ganti
guoblim,bodoh
gurl,perempuan
gurunya,guru
guys,teman
gw,saya
gwa,saya
gwoblokkkk,bodoh
gws,semoga sehat
gymnya,gym
haalooooo,halo
hack,retas
hadeeuuuhhh,aduh
hadeh,aduh
hadeuhhh,aduh
hadirin,hadir
haduh,aduh
hah,ha
halah,alah
hall,halo
hallo,halo
halohalohalo,halo halo halo
handsome,ganteng
hanya,cuma
hap,tangkap
hape,hp
happening,terjadi
hardcore,susah
harganya,harga
harian,hari
harimu,hari kamu
harvest,panen
harvestmoon,panen bulan
hate,benci
hater,benci
haters,benci
hati2,hati
hatilah,hati
have,punya
haven,surga
hayo,ayo
hbis,habis
he,hah
head,kepala
headset,penyuara kuping
headsetnya,penyuara kuping
healthy,sehat
heart,hati
heartbreak,hati hancur
heaters,benci
