,text,label,verifikasi
,keluar dong,Marah,Benar
,so sad,Sedih,Benar
,lhoo,Bingung,Benar
,WKWKWKWKKWKWKWKWKWKKW,Lucu,Benar
,Mr. X halo,Suka,Benar
,patah,Sedih,Benar
,terang bulan sma martabak manis sama weh,Marah,Benar
,Sedagu ya bang,Bingung,Benar
,react Rewind Indonesia 2021 bareng crew seru keknya,Suka,Benar
,awhahwhahwahw,Lucu,Benar
,nanti lanjut lagi ya bang!!!!,Marah,Benar
,bryan furran ada,Suka,Benar
,RTO man,Sedih,Benar
,gk restream bang??,Bingung,Benar
,aowkoakwow need Arnold voice,Lucu,Benar
,"emang bang, sentolop itu menular",Marah,Benar
,rrrrt,Suka,Benar
,"bang gema kang dani, mnurut kalian pergaulan yg sehat mnurut kalian pribadi gmna??",Bingung,Benar
,furry wkwkwkw,Lucu,Benar
,MATIIIII,Sedih,Benar
,ga gitu njing,Marah,Benar
,chromebook samsung 4 apakah worth it bang ?????,Bingung,Benar
,udah potong aja gaji chris,Suka,Benar
,bedarahlah wkwkwk,Lucu,Benar
,gws gem..,Sedih,Benar
,bang ada yang main lineage w ga bang kalo ada ajarin bang?,Bingung,Benar
,bodolah,Marah,Benar
,Adiya's Baby Days Out,Suka,Benar
,goblok sih iye wkwkwkwk,Lucu,Benar
,ga relate gw ips gem,Sedih,Benar
,sheesh,Bingung,Benar
,ITU BANGSYATTTTTTTTT,Marah,Benar
,Gila Chris,Suka,Benar
,kepala kentang wkwkwkwk,Lucu,Benar
,sedih bang nonton wall e,Sedih,Benar
,diskon berapa bang,Bingung,Benar
,drop,Marah,Benar
,fans tara dan gema adalah detektif,Suka,Benar
,wkwkwk dia denger,Lucu,Benar
,lag bang,Sedih,Benar
,NOBAR GA BANG ?,Bingung,Benar
,"halloo kak gita ada yang macem"" nihh",Marah,Benar
,HALAH TAHUN LALU JUGA DAFTAR GYM,Suka,Benar
,:elbowcough::elbowcough::elbowcough:lagi makan bang :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,Lucu,Benar
,youtube paling delay dari facebook sama twitch..,Sedih,Benar
,gimana sih bingung ane,Bingung,Benar
,sama gk suka kmpret kampret,Marah,Benar
,"CLIP IT, BIAR TUTORIYAL",Suka,Benar
,seringnya megang controller wkwk,Lucu,Benar
,Ngeri,Sedih,Benar
,apani koq rto,Bingung,Benar
,69-42,Suka,Benar
,mukanya ngeselin,Marah,Benar
,anjer ngegas wkwk,Lucu,Benar
,gws yaa,Sedih,Benar
,BG AETHER SX BUAT IPHONE BISA GA ?,Bingung,Benar
,kan discord kan,Suka,Benar
,saatt,Marah,Benar
,HAHHAHAH GG,Lucu,Benar
,lagi pegn belajar gambar eh bang gema live... ga jadilah,Sedih,Benar
,Emang iya?,Bingung,Benar
,lahh gw kyknya,Suka,Benar
